Ancestry,SiteID,Lon.x,Lat.x,Date.x,SpeciesSymbol,SiteTotalFrames,Composition,ProtocolType,Lat.y,Lon.y,Date.y,JunipCover
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,ABUTI,95,2.8421052631578947,USFS R3 Tenth Acre,NA,NA,11/14/2025,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,ARTE3,95,3.5789473684210527,USFS R3 Tenth Acre,NA,NA,11/14/2025,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,BOCU,95,55.1578947368421,USFS R3 Tenth Acre,NA,NA,11/14/2025,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,BOER4,95,5.157894736842105,USFS R3 Tenth Acre,NA,NA,11/14/2025,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,BOGR2,95,6.842105263157895,USFS R3 Tenth Acre,NA,NA,11/14/2025,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,BOHI2,95,10,USFS R3 Tenth Acre,NA,NA,11/14/2025,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,ELEL5,95,1.0526315789473684,USFS R3 Tenth Acre,NA,NA,11/14/2025,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,HIBE,95,7.684210526315789,USFS R3 Tenth Acre,NA,NA,11/14/2025,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,PAHA,95,2.6315789473684212,USFS R3 Tenth Acre,NA,NA,11/14/2025,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,SPAM2,95,1.368421052631579,USFS R3 Tenth Acre,NA,NA,11/14/2025,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,SPCR,95,0.21052631578947367,USFS R3 Tenth Acre,NA,NA,11/14/2025,0.001
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,VEGO2,95,3.473684210526316,USFS R3 Tenth Acre,NA,NA,11/14/2025,0.001
