Ancestry,SiteID,Lon,Lat,Date,SpeciesSymbol,SiteTotalFrames,Composition
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,2FA,100,4.9
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,2GA,100,0.9
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,ABUTI,100,1
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,ARTE3,100,2.8
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,BOCU,100,28.6
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,BOER4,100,4.3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,BOGR2,100,2.7
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,BOHI2,100,8.2
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,CEGR,100,1.6
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,ELEL5,100,0.1
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,ERWR,100,1.7
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,GUSA2,100,0.6
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,HIBE,100,5.8
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,MIAC3,100,10.9
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,PAHA,100,1.7
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,QUTU2,100,21.1
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,RHIL,100,0.1
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,RHTR,100,0.4
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,SPAM2,100,0.4
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,SPCR,100,0.3
USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Board Creek Allotment > Box Unit Pasture,KA10,NA,NA,11/14/2025,VEGO2,100,1.9
