ProtocolType,ProtocolName,EventType,EventName,FormName,Date,Ancestry,SiteID,SiteType,SiteStatus,Slope,Aspect,Elevation,SpeciesSymbol,FieldSymbol,SpeciesName,SpeciesName1,CommonName,SpeciesQualifier,FieldQualifier,Transect,SampleNumber,Element,SubElement,cParameter,cParameter2,cParameter3,cValue,cValueCommon,cValue2,cValue2Common,cValue3,cValue3Common,nValue,nValue2,nValue3,DDLat,DDLong
USFS R3 - PNF Gap,USFS R3 - PNF Gap,Cover/frequency (by quadrat),Cover/frequency (by quadrat),Canopy Cover,10/18/2017,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Blue Bell Allotment > Blue Bell Pasture,03-09-03-00316-003-C02,Key Area,Active,NA,NA,4650,SENNA,SENNA,Senna,Senna,senna,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.346923623949216,-112.25008981053216
USFS R3 - PNF Gap,USFS R3 - PNF Gap,Cover/frequency (by quadrat),Cover/frequency (by quadrat),Canopy Cover,10/18/2017,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Blue Bell Allotment > Blue Bell Pasture,03-09-03-00316-003-C02,Key Area,Active,NA,NA,4650,GUTIE,GUTIE,Gutierrezia,Gutierrezia,snakeweed,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA,34.346923623949216,-112.25008981053216
USFS R3 - PNF Gap,USFS R3 - PNF Gap,Cover/frequency (by quadrat),Cover/frequency (by quadrat),Canopy Cover,10/18/2017,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Blue Bell Allotment > Blue Bell Pasture,03-09-03-00316-003-C02,Key Area,Active,NA,NA,4650,BOER4,BOER4,Bouteloua eriopoda,Bouteloua eriopoda,black grama,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,34.346923623949216,-112.25008981053216
USFS R3 - PNF Gap,USFS R3 - PNF Gap,Cover/frequency (by quadrat),Cover/frequency (by quadrat),Canopy Cover,10/18/2017,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Blue Bell Allotment > Blue Bell Pasture,03-09-03-00316-003-C02,Key Area,Active,NA,NA,4650,GUTIE,GUTIE,Gutierrezia,Gutierrezia,snakeweed,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA,34.346923623949216,-112.25008981053216
USFS R3 - PNF Gap,USFS R3 - PNF Gap,Cover/frequency (by quadrat),Cover/frequency (by quadrat),Canopy Cover,10/18/2017,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Blue Bell Allotment > Blue Bell Pasture,03-09-03-00316-003-C02,Key Area,Active,NA,NA,4650,OPUNT,OPUNT,Opuntia,Opuntia,pricklypear,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,34.346923623949216,-112.25008981053216
USFS R3 - PNF Gap,USFS R3 - PNF Gap,Cover/frequency (by quadrat),Cover/frequency (by quadrat),Canopy Cover,10/18/2017,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Blue Bell Allotment > Blue Bell Pasture,03-09-03-00316-003-C02,Key Area,Active,NA,NA,4650,BOER4,BOER4,Bouteloua eriopoda,Bouteloua eriopoda,black grama,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,34.346923623949216,-112.25008981053216
USFS R3 - PNF Gap,USFS R3 - PNF Gap,Cover/frequency (by quadrat),Cover/frequency (by quadrat),Canopy Cover,10/18/2017,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Blue Bell Allotment > Blue Bell Pasture,03-09-03-00316-003-C02,Key Area,Active,NA,NA,4650,CAER,CAER,Calliandra eriophylla,Calliandra eriophylla,fairyduster,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,34.346923623949216,-112.25008981053216
USFS R3 - PNF Gap,USFS R3 - PNF Gap,Cover/frequency (by quadrat),Cover/frequency (by quadrat),Canopy Cover,10/18/2017,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Blue Bell Allotment > Blue Bell Pasture,03-09-03-00316-003-C02,Key Area,Active,NA,NA,4650,BOER4,BOER4,Bouteloua eriopoda,Bouteloua eriopoda,black grama,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,34.346923623949216,-112.25008981053216
USFS R3 - PNF Gap,USFS R3 - PNF Gap,Cover/frequency (by quadrat),Cover/frequency (by quadrat),Canopy Cover,10/18/2017,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Blue Bell Allotment > Blue Bell Pasture,03-09-03-00316-003-C02,Key Area,Active,NA,NA,4650,ACSP12,ACSP12,Achnatherum speciosum,Achnatherum speciosum,desert needlegrass,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,34.346923623949216,-112.25008981053216
USFS R3 - PNF Gap,USFS R3 - PNF Gap,Cover/frequency (by quadrat),Cover/frequency (by quadrat),Canopy Cover,10/18/2017,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Blue Bell Allotment > Blue Bell Pasture,03-09-03-00316-003-C02,Key Area,Active,NA,NA,4650,TRIDE,TRIDE,Tridens,Tridens,tridens,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,34.346923623949216,-112.25008981053216
USFS R3 - PNF Gap,USFS R3 - PNF Gap,Cover/frequency (by quadrat),Cover/frequency (by quadrat),Canopy Cover,10/18/2017,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Blue Bell Allotment > Blue Bell Pasture,03-09-03-00316-003-C02,Key Area,Active,NA,NA,4650,BOER4,BOER4,Bouteloua eriopoda,Bouteloua eriopoda,black grama,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,34.346923623949216,-112.25008981053216
USFS R3 - PNF Gap,USFS R3 - PNF Gap,Cover/frequency (by quadrat),Cover/frequency (by quadrat),Canopy Cover,10/18/2017,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Blue Bell Allotment > Blue Bell Pasture,03-09-03-00316-003-C02,Key Area,Active,NA,NA,4650,JUCO6,JUCO6,Juniperus communis,Juniperus communis,common juniper,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,34.346923623949216,-112.25008981053216
