ProtocolType,ProtocolName,EventType,EventName,FormName,Date,Ancestry,SiteID,SiteType,SiteStatus,Slope,Aspect,Elevation,SpeciesSymbol,FieldSymbol,SpeciesName,SpeciesName1,CommonName,SpeciesQualifier,FieldQualifier,Transect,SampleNumber,Element,SubElement,cParameter,cParameter2,cParameter3,cValue,cValueCommon,cValue2,cValue2Common,cValue3,cValue3Common,nValue,nValue2,nValue3,DDLat,DDLong
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Woody - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,Key Area,Active,NA,NA,4870,BOGR2,BOGR2,Bouteloua gracilis,Bouteloua gracilis,blue grama,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.709584,-112.620564
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Woody - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,Key Area,Active,NA,NA,4870,ARIST,ARIST,Aristida,Aristida,threeawn,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.709584,-112.620564
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Woody - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,Key Area,Active,NA,NA,4870,ERIOG,ERIOG,Eriogonum,Eriogonum,buckwheat,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.709584,-112.620564
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Woody - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,Key Area,Active,NA,NA,4870,BOCU,BOCU,Bouteloua curtipendula,Bouteloua curtipendula,sideoats grama,NA,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.709584,-112.620564
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Woody - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,Key Area,Active,NA,NA,4870,ERIOG,ERIOG,Eriogonum,Eriogonum,buckwheat,NA,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.709584,-112.620564
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Woody - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,Key Area,Active,NA,NA,4870,BOCU,BOCU,Bouteloua curtipendula,Bouteloua curtipendula,sideoats grama,NA,NA,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.709584,-112.620564
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Woody - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,Key Area,Active,NA,NA,4870,AAFF,AAFF,Annual forb(s),Annual forb(s),Annual forb(s),NA,NA,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,34.709584,-112.620564
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Woody - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,Key Area,Active,NA,NA,4870,AAFF,AAFF,Annual forb(s),Annual forb(s),Annual forb(s),NA,NA,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,34.709584,-112.620564
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Woody - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,Key Area,Active,NA,NA,4870,AAFF,AAFF,Annual forb(s),Annual forb(s),Annual forb(s),NA,NA,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.709584,-112.620564
CM Masters Protocol,CM Masters Protocol,DWR (by quadrat),Woody - DWR,DWR Sampling,10/28/2025,USFS > Region 03 > Prescott National Forest > Bradshaw Ranger District > Granite Allotment > North Unit Pasture,KA1,Key Area,Active,NA,NA,4870,BOCU,BOCU,Bouteloua curtipendula,Bouteloua curtipendula,sideoats grama,NA,NA,1,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,34.709584,-112.620564
